序,股票,价,涨,低估率,当前市值.亿,折现市值.亿,当前现金流.亿,资产负债率,PE,PB,股息,ROE,今年来,行业
'1,000521.长虹美菱,'7.29,'-0.41%,1579.41%,'75,'1266,'65,74.21%,'10.39,'1.20,4.51%,11.84%,'-6.67%,家电行业
'2,600742.富维股份,'10.39,'-0.38%,1513.57%,'77,'1250,'83,56.45%,'15.09,'0.90,3.36%,6.09%,'+21.87%,汽车零部件
'3,600861.北京人力,'21.30,'-1.62%,1384.64%,'122,'1819,'73,53.65%,'10.46,'1.72,3.23%,17.55%,'+14.15%,专业服务
'4,000928.中钢国际,'6.61,'-0.15%,1195.87%,'94,'1230,'64,66.91%,'11.15,'1.11,4.52%,10.20%,'+8.66%,工程咨询服务
'5,600339.中油工程,'3.58,'+0.85%,1105.46%,'198,'2389,'135,75.62%,'33.74,'0.74,1.15%,2.22%,'-0.84%,采掘行业
'6,002106.莱宝高科,'10.83,'-0.09%,958.02%,'76,'809,'34,34.96%,'23.04,'1.39,0.92%,6.14%,'+0.26%,光学光电子
'7,600827.百联股份,'9.91,'-0.30%,932.40%,'177,'1830,'123,59.59%,'11.31,'0.89,2.67%,8.29%,'-6.92%,商业百货
'8,000404.长虹华意,'7.52,'-0.66%,909.34%,'52,'531,'32,64.68%,'10.96,'1.26,3.96%,11.99%,'+5.98%,家电行业
'9,000913.钱江摩托,'17.41,'+1.22%,899.32%,'90,'905,'47,53.12%,'14.52,'1.86,4.54%,13.18%,'-0.76%,交运设备
'10,000550.江铃汽车,'21.00,'+0.24%,808.57%,'180,'1643,'83,59.98%,'13.29,'1.56,3.26%,12.13%,'-10.45%,汽车整车
'11,002116.中国海诚,'10.68,'-0.19%,732.62%,'49,'415,'30,58.82%,'15.31,'1.92,2.89%,13.14%,'+10.29%,工程咨询服务
'12,000910.大亚圣象,'7.75,'-0.64%,695.06%,'42,'339,'24,24.60%,'40.56,'0.64,2.44%,1.58%,'+1.00%,装修建材
'13,600987.航民股份,'7.46,'-0.13%,693.00%,'76,'604,'33,34.22%,'10.48,'1.17,4.02%,11.36%,'+12.11%,纺织服装
'14,600278.东方创业,'7.88,'+0.13%,691.64%,'69,'546,'33,58.91%,'32.63,'0.92,3.31%,2.86%,'+13.85%,贸易行业
'15,600482.中国动力,'23.74,'+0.55%,684.79%,'531,'4174,'239,53.90%,'31.32,'1.34,0.92%,4.44%,'-2.13%,船舶制造
'16,603929.亚翔集成,'38.22,'+1.84%,666.67%,'80,'613,'31,61.08%,'14.31,'4.41,2.66%,34.24%,'+42.81%,装修装饰
'17,601001.晋控煤业,'14.50,'+2.84%,660.68%,'235,'1795,'116,24.12%,'9.29,'1.23,5.35%,13.74%,'+11.94%,煤炭行业
'18,600916.中国黄金,'8.18,'-0.24%,648.29%,'137,'1030,'59,42.68%,'23.36,'1.82,4.27%,7.69%,'-1.09%,珠宝首饰
'19,000625.长安汽车,'13.05,'+0.77%,644.39%,'1283,'9556,'581,59.69%,'17.08,'1.64,2.28%,9.93%,'-0.05%,汽车整车
'20,000951.中国重汽,'17.96,'+0.22%,635.49%,'210,'1548,'78,62.18%,'13.89,'1.35,3.88%,9.90%,'+8.23%,汽车整车
'21,600420.国药现代,'11.35,'-0.26%,632.16%,'152,'1117,'49,18.54%,'13.70,'1.13,2.64%,8.47%,'-3.20%,化学制药
'22,600081.东风科技,'13.86,'+1.17%,616.96%,'75,'543,'24,42.61%,'67.37,'1.64,0.53%,2.45%,'+35.22%,汽车零部件
'23,600551.时代出版,'9.19,'+0.55%,591.54%,'61,'428,'24,31.34%,'15.59,'1.06,4.38%,6.85%,'+10.42%,文化传媒
'24,600894.广日股份,'10.23,'-0.29%,585.24%,'87,'598,'37,35.80%,'10.84,'1.00,13.39%,8.94%,'-25.87%,专用设备
'25,601117.中国化学,'8.33,'+1.83%,578.58%,'499,'3389,'170,69.43%,'8.44,'0.78,2.18%,9.65%,'+0.48%,工程建设
'26,601811.新华文轩,'15.58,'+0.32%,576.95%,'191,'1297,'87,35.92%,'11.99,'1.29,3.86%,11.29%,'+0.96%,文化传媒
'27,600662.外服控股,'5.95,'-1.49%,566.97%,'137,'919,'87,64.07%,'12.50,'2.61,2.15%,22.72%,'+17.36%,专业服务
'28,601098.中南传媒,'12.95,'+0.15%,540.69%,'232,'1487,'73,37.16%,'15.96,'1.46,4.25%,9.21%,'-10.80%,文化传媒
'29,002864.盘龙药业,'30.64,'-1.03%,533.74%,'32,'208,'10,28.18%,'27.34,'1.98,0.97%,7.43%,'+1.83%,中药
'30,603687.大胜达,'7.77,'-0.89%,530.36%,'43,'271,'11,19.89%,'36.46,'1.31,0.75%,3.64%,'+7.45%,包装材料
'31,601006.大秦铁路,'6.48,'-0.46%,525.23%,'1311,'8200,'476,13.12%,'15.32,'0.79,3.95%,5.40%,'-2.38%,物流行业
'32,600219.南山铝业,'4.12,'+0.24%,524.29%,'477,'2979,'188,16.80%,'8.40,'0.92,4.15%,11.42%,'+7.99%,有色金属
'33,600720.中交设计,'8.13,'-0.49%,509.79%,'187,'1143,'53,48.27%,'10.69,'1.24,'-,12.67%,'-8.24%,工程咨询服务
'34,600694.大商股份,'19.96,'+0.30%,507.11%,'69,'420,'29,47.84%,'11.77,'0.77,4.57%,6.67%,'-13.09%,商业百货
'35,600312.平高电气,'15.83,'-0.75%,503.54%,'216,'1306,'64,48.49%,'18.79,'2.00,1.81%,10.92%,'-16.79%,电网设备
'36,000800.一汽解放,'7.09,'-0.28%,503.52%,'349,'2111,'196,66.31%,'72.57,'1.33,0.70%,1.89%,'-12.91%,汽车整车
'37,003012.东鹏控股,'6.07,'+0.50%,500.24%,'69,'419,'18,33.81%,'22.58,'0.92,4.14%,4.03%,'-4.29%,装修建材
'38,603303.得邦照明,'13.98,'+2.27%,496.95%,'65,'389,'22,45.89%,'19.49,'1.80,5.41%,9.31%,'+26.08%,家电行业
'39,600380.健康元,'12.26,0.00%,492.29%,'224,'1328,'96,33.31%,'16.22,'1.53,1.63%,9.57%,'+10.58%,化学制药
'40,301039.中集车辆,'8.86,'+0.91%,478.73%,'164,'952,'63,34.44%,'16.47,'1.13,6.38%,6.74%,'+1.24%,汽车整车
'41,002563.森马服饰,'5.53,0.00%,476.55%,'148,'858,'58,35.87%,'14.82,'1.24,6.33%,8.41%,'-16.35%,纺织服装
'42,000655.金岭矿业,'8.59,'-0.58%,474.24%,'51,'295,'21,11.74%,'22.27,'1.51,2.08%,6.90%,'+41.46%,钢铁行业
'43,600682.南京新百,'7.39,'-1.07%,457.03%,'100,'560,'42,26.96%,'43.94,'0.57,0.21%,1.30%,'+8.31%,商业百货
'44,000779.甘咨询,'9.64,'-0.62%,453.49%,'45,'249,'15,28.28%,'19.41,'1.16,0.82%,6.13%,'+18.15%,工程咨询服务
'45,002478.常宝股份,'5.56,'-0.36%,436.81%,'50,'269,'15,28.80%,'8.68,'0.87,3.94%,10.39%,'+9.57%,钢铁行业
'46,603711.香飘飘,'13.71,'-0.22%,436.63%,'56,'304,'17,22.78%,'27.12,'1.63,1.82%,6.10%,'-14.90%,食品饮料
'47,600479.千金药业,'10.95,'-0.73%,435.25%,'46,'247,'9,31.06%,'19.42,'1.83,3.26%,9.60%,'+5.94%,中药
'48,002081.金螳螂,'3.69,'+0.55%,435.23%,'97,'521,'40,57.36%,'17.57,'0.70,2.72%,4.06%,'+6.36%,装修装饰
'49,002483.润邦股份,'7.02,'-0.99%,433.94%,'62,'335,'22,55.57%,'12.76,'1.41,4.23%,11.57%,'+41.51%,专用设备
'50,002242.九阳股份,'10.14,'-0.10%,433.40%,'77,'413,'26,53.20%,'82.50,'2.17,1.49%,2.62%,'-0.61%,家电行业
'51,600582.天地科技,'6.31,0.00%,432.38%,'261,'1390,'75,45.21%,'7.76,'1.01,5.02%,13.59%,'+7.53%,专用设备
'52,603587.地素时尚,'13.15,'+2.33%,428.92%,'60,'322,'23,16.34%,'22.07,'1.63,3.91%,7.28%,'+8.48%,纺织服装
'53,603102.百合股份,'43.20,'-0.51%,428.50%,'27,'146,'11,11.46%,'19.90,'1.70,1.73%,8.77%,'+25.18%,食品饮料
'54,000923.河钢资源,'14.48,'+1.54%,427.57%,'93,'491,'42,22.32%,'20.60,'0.93,3.51%,4.62%,'+8.10%,钢铁行业
'55,688289.圣湘生物,'21.92,'-0.59%,413.27%,'127,'655,'34,23.25%,'44.62,'1.74,2.39%,3.91%,'-2.10%,医疗器械
'56,002301.齐心集团,'7.18,'+0.14%,394.10%,'51,'255,'11,62.85%,'83.07,'1.66,0.98%,1.99%,'+1.87%,家用轻工
'57,600854.春兰股份,'5.59,'-0.18%,391.65%,'29,'143,'11,7.76%,'21.45,'1.19,2.14%,5.64%,'+25.03%,家电行业
'58,600566.济川药业,'26.79,'+0.64%,390.50%,'245,'1202,'68,17.27%,'11.52,'1.62,7.86%,14.50%,'-0.73%,中药
'59,600780.通宝能源,'6.07,'+0.50%,379.02%,'69,'331,'22,24.84%,'12.64,'0.88,2.98%,7.13%,'+7.82%,电力行业
'60,600583.海油工程,'5.72,'+2.69%,377.81%,'246,'1176,'51,41.38%,'11.06,'0.92,3.61%,8.55%,'+8.60%,采掘行业
'61,601179.中国西电,'6.54,'-0.91%,374.24%,'338,'1604,'79,44.96%,'29.53,'1.51,1.26%,5.19%,'-13.23%,电网设备
'62,301102.兆讯传媒,'12.09,'-0.08%,372.09%,'49,'231,'20,31.01%,'84.62,'1.60,0.17%,1.90%,'+10.82%,文化传媒
'63,600249.两面针,'5.90,'-0.17%,368.35%,'32,'152,'12,19.27%,'47.66,'1.50,0.51%,3.18%,'+15.91%,美容护理
'64,600971.恒源煤电,'7.16,'+1.99%,361.92%,'84,'389,'32,38.18%,'12.61,'0.68,6.70%,5.24%,'-19.00%,煤炭行业
'65,600511.国药股份,'29.83,'-0.47%,355.20%,'226,'1029,'57,44.55%,'11.31,'1.29,2.67%,11.83%,'-10.41%,医药商业
'66,601699.潞安环能,'14.60,'+3.33%,355.15%,'422,'1923,'66,38.27%,'23.24,'0.89,2.90%,3.75%,'+5.66%,煤炭行业
'67,000848.承德露露,'8.82,'-0.23%,351.30%,'93,'419,'32,20.71%,'14.64,'2.56,3.39%,18.24%,'+1.20%,食品饮料
'68,600730.中国高科,'8.32,'+1.96%,344.89%,'47,'212,'10,11.26%,'109.01,'2.64,0.12%,2.45%,'+37.74%,教育
'69,601919.中远海控,'15.66,'-0.06%,344.77%,'2427,'10795,'1408,41.97%,'4.49,'0.99,9.93%,24.18%,'+7.90%,航运港口
'70,000858.五粮液,'123.19,'-0.60%,344.37%,'4810,'21378,'1352,23.34%,'14.73,'3.25,4.64%,22.39%,'-7.94%,酿酒行业
'71,002756.永兴材料,'36.53,'-2.43%,343.48%,'201,'895,'53,8.45%,'26.33,'1.61,2.67%,5.94%,'-1.61%,钢铁行业
'72,600167.联美控股,'6.55,'+5.14%,338.82%,'140,'618,'50,27.98%,'19.77,'1.24,5.16%,6.20%,'+18.30%,公用事业
'73,601399.国机重装,'3.38,'-0.88%,336.16%,'245,'1072,'75,54.21%,'56.67,'1.70,'-,3.04%,'+9.74%,专用设备
'74,600741.华域汽车,'18.10,'-0.39%,335.47%,'572,'2494,'186,63.11%,'8.55,'0.90,4.40%,10.95%,'+7.35%,汽车零部件
'75,000682.东方电子,'10.51,'-0.28%,331.18%,'141,'609,'32,53.67%,'20.09,'2.70,0.78%,14.18%,'-1.44%,电网设备
'76,000400.许继电气,'23.15,'-0.30%,328.92%,'236,'1014,'52,49.17%,'21.76,'2.05,1.80%,9.68%,'-15.06%,电网设备
'77,002223.鱼跃医疗,'35.74,'+0.42%,326.02%,'356,'1519,'71,19.43%,'20.15,'2.72,2.25%,13.87%,'-0.98%,医疗器械
'78,000557.西部创业,'5.66,'+0.53%,323.79%,'82,'347,'21,9.18%,'33.59,'1.33,0.89%,4.04%,'+10.09%,物流行业
'79,600261.阳光照明,'3.46,'+0.29%,322.23%,'46,'194,'14,29.58%,'21.83,'1.29,4.06%,5.87%,'+10.29%,家电行业
'80,601888.中国中免,'65.65,'+0.02%,318.25%,'1358,'5679,'350,21.80%,'34.83,'2.38,1.60%,6.89%,'-0.31%,旅游酒店
'81,600004.白云机场,'9.43,'+0.11%,317.62%,'222,'931,'52,31.00%,'21.56,'1.20,1.67%,5.68%,'-0.08%,航空机场
'82,688739.成大生物,'28.77,'-0.55%,311.10%,'120,'495,'40,4.42%,'36.12,'1.25,2.77%,3.46%,'+15.00%,生物制品
'83,603766.隆鑫通用,'13.17,'+1.00%,310.00%,'267,'1097,'63,42.58%,'19.54,'2.76,3.07%,15.07%,'+48.91%,交运设备
'84,002763.汇洁股份,'7.36,'-0.14%,307.22%,'30,'123,'9,22.78%,'50.10,'1.51,2.04%,2.93%,'+13.30%,纺织服装
'85,300073.当升科技,'42.24,'-1.10%,305.38%,'232,'942,'75,23.03%,'49.24,'1.75,0.44%,3.57%,'+5.40%,电池
'86,600875.东方电气,'19.84,'-1.34%,303.64%,'681,'2752,'194,70.14%,'21.51,'1.71,2.15%,8.12%,'+24.86%,电源设备
'87,600859.王府井,'14.05,0.00%,301.57%,'157,'634,'52,50.17%,'129.04,'0.80,0.57%,0.62%,'-8.30%,商业百货
'88,600516.方大炭素,'4.82,'-0.62%,298.28%,'195,'777,'37,14.23%,'300.00,'1.21,0.41%,0.13%,'+0.20%,非金属材料
'89,600835.上海机电,'27.59,'+5.95%,297.19%,'266,'1057,'82,52.14%,'28.68,'1.91,1.61%,6.73%,'+55.69%,专用设备
'90,002557.洽洽食品,'22.93,'-0.86%,295.12%,'117,'462,'18,40.23%,'17.05,'2.07,5.62%,12.08%,'-16.64%,食品饮料
'91,002328.新朋股份,'6.81,'+10.02%,294.66%,'47,'188,'11,33.75%,'32.79,'1.43,2.29%,4.40%,'+13.42%,汽车零部件
'92,002955.鸿合科技,'26.58,'+3.46%,293.98%,'60,'239,'14,30.23%,'29.99,'1.89,9.97%,6.08%,'+18.59%,光学光电子
'93,603100.川仪股份,'20.46,'+0.20%,293.72%,'104,'412,'21,44.70%,'14.10,'2.37,2.82%,17.41%,'-2.41%,仪器仪表
'94,603187.海容冷链,'12.85,'-1.00%,289.63%,'50,'195,'13,26.40%,'14.62,'1.19,3.85%,8.26%,'+19.99%,通用设备
'95,688569.铁科轨道,'23.95,'-3.23%,288.57%,'52,'202,'16,12.31%,'28.79,'1.82,1.41%,6.41%,'+14.74%,交运设备
'96,301058.中粮科工,'11.62,'+0.26%,288.19%,'59,'230,'14,49.86%,'25.13,'2.72,1.29%,11.25%,'+11.61%,工程建设
'97,002367.康力电梯,'7.49,'-0.13%,285.89%,'59,'230,'15,51.81%,'16.06,'1.66,4.01%,10.48%,'+13.77%,专用设备
'98,688080.映翰通,'48.61,'+0.58%,284.84%,'35,'137,'8,17.36%,'26.27,'3.35,0.41%,13.59%,'+48.30%,通信设备
'99,603217.元利科技,'18.58,'-0.27%,282.23%,'38,'148,'10,22.70%,'19.56,'1.16,1.88%,6.07%,'+16.33%,化学制品
'100,603321.梅轮电梯,'8.84,'-1.12%,278.21%,'31,'118,'7,33.70%,'47.70,'2.53,1.97%,5.33%,'+29.76%,专用设备
'101,688015.交控科技,'22.45,'-0.97%,277.41%,'42,'161,'12,53.96%,'48.14,'1.66,1.01%,3.50%,'+14.52%,交运设备
'102,601156.东航物流,'14.56,'+0.07%,274.29%,'230,'864,'65,25.76%,'8.74,'1.28,4.65%,15.51%,'-11.75%,物流行业
'103,688338.赛科希德,'28.38,'+0.28%,269.17%,'30,'110,'10,5.11%,'28.42,'1.81,1.17%,6.43%,'+18.88%,医疗器械
'104,002687.乔治白,'4.90,0.00%,268.42%,'24,'91,'5,20.71%,'30.46,'1.67,'-,5.43%,'+11.87%,纺织服装
'105,603216.梦天家居,'14.22,'-4.37%,265.72%,'33,'121,'6,18.36%,'51.75,'1.85,1.34%,3.57%,'+32.93%,装修装饰
'106,301185.鸥玛软件,'20.78,'-1.84%,264.90%,'32,'118,'8,1.51%,'45.91,'3.00,1.42%,6.66%,'+23.62%,软件开发
'107,600557.康缘药业,'17.65,'+1.09%,263.87%,'98,'359,'21,30.42%,'30.21,'2.15,'-,6.59%,'+29.59%,中药
'108,002236.大华股份,'16.60,'+0.36%,260.63%,'543,'1960,'90,24.85%,'18.13,'1.48,3.89%,8.32%,'+6.79%,计算机设备
'109,601126.四方股份,'17.10,'-0.93%,259.26%,'143,'516,'28,57.62%,'18.53,'2.98,4.17%,16.76%,'+5.25%,电网设备
'110,000919.金陵药业,'7.27,'+0.28%,258.67%,'45,'162,'10,19.55%,'227.84,'1.19,1.38%,0.52%,'+12.10%,中药
'111,600229.城市传媒,'7.10,'-0.28%,258.18%,'47,'168,'11,23.97%,'77.57,'1.45,0.98%,1.84%,'+2.86%,文化传媒
'112,000541.佛山照明,'6.48,'-0.15%,255.89%,'99,'354,'16,39.35%,'23.33,'1.50,1.85%,6.56%,'+6.45%,家电行业
'113,688663.新风光,'30.86,'+0.19%,254.70%,'43,'153,'8,55.02%,'26.58,'3.13,1.95%,12.06%,'+45.31%,电网设备
'114,002697.红旗连锁,'5.73,'+0.53%,254.63%,'77,'274,'20,43.49%,'14.48,'1.69,2.02%,12.17%,'-1.01%,商业百货
'115,002363.隆基机械,'8.46,'-1.51%,250.99%,'35,'125,'9,33.50%,'70.03,'1.68,1.28%,2.40%,'+29.77%,汽车零部件
'116,601616.广电电气,'3.95,0.00%,249.97%,'33,'118,'11,13.58%,'54.09,'1.37,1.77%,2.52%,'-8.45%,电网设备
'117,000915.华特达因,'34.04,'-0.79%,249.03%,'80,'280,'20,11.27%,'15.43,'2.89,7.29%,18.53%,'+28.74%,化学制药
'118,688006.杭可科技,'21.37,'-0.47%,248.68%,'129,'451,'28,45.97%,'48.16,'2.47,1.05%,5.11%,'+20.37%,电池
'119,601999.出版传媒,'7.36,'-0.81%,247.46%,'40,'142,'9,36.11%,'35.01,'1.56,0.84%,4.54%,'+17.38%,文化传媒
'120,601226.华电科工,'6.67,'+0.15%,246.59%,'77,'269,'14,59.69%,'59.76,'1.85,0.51%,3.13%,'-0.79%,工程机械
'121,600059.古越龙山,'9.75,'-0.71%,240.21%,'89,'304,'19,10.71%,'44.19,'1.50,0.81%,3.42%,'+10.67%,酿酒行业
'122,603129.春风动力,'270.01,'+6.84%,237.07%,'385,'1299,'85,'-,'23.96,'5.72,1.52%,26.73%,'+75.66%,交运设备
'123,002051.中工国际,'9.02,'+1.24%,235.14%,'110,'369,'42,52.68%,'29.36,'0.95,1.40%,3.29%,'+12.18%,工程建设
'124,300130.新国都,'29.90,'+1.60%,235.01%,'166,'559,'20,25.24%,'98.29,'3.83,1.36%,3.82%,'+38.77%,计算机设备
'125,603515.欧普照明,'18.79,'-0.69%,234.43%,'140,'470,'23,28.17%,'15.24,'2.05,4.77%,13.69%,'+20.11%,家电行业
'126,603023.威帝股份,'4.62,'+10.00%,234.13%,'23,'78,'5,12.91%,'300.00,'3.04,'-,0.19%,'+68.61%,汽车零部件
'127,000757.浩物股份,'5.01,'-0.99%,232.27%,'26,'89,'5,37.98%,'300.00,'1.73,'-,0.18%,'+34.32%,汽车服务
'128,600929.雪天盐业,'5.26,'-0.57%,229.29%,'86,'285,'13,25.06%,'190.01,'1.15,1.64%,0.59%,'-4.29%,化学原料
'129,300873.海晨股份,'26.98,'+3.17%,228.44%,'60,'198,'11,31.45%,'20.51,'1.96,1.53%,9.83%,'+59.55%,物流行业
'130,603637.镇海股份,'11.30,'-1.48%,228.01%,'27,'89,'7,21.11%,'28.89,'2.65,1.74%,9.46%,'+38.39%,工程建设
'131,002677.浙江美大,'7.12,'+0.42%,227.59%,'45,'150,'9,8.15%,'111.50,'2.76,4.23%,2.18%,'+1.04%,家电行业
'132,002224.三力士,'4.70,'-0.42%,226.02%,'42,'138,'8,19.50%,'90.18,'1.31,0.64%,1.45%,'+9.48%,橡胶制品
'133,003028.振邦智能,'35.97,'-0.66%,224.26%,'52,'169,'11,31.33%,'27.10,'2.94,0.96%,11.35%,'+31.92%,消费电子
'134,603551.奥普科技,'11.66,'+0.34%,223.14%,'45,'146,'10,30.81%,'15.31,'3.12,7.39%,18.89%,'+14.72%,家电行业
'135,002393.力生制药,'24.28,'+0.04%,222.86%,'62,'201,'16,16.39%,'34.62,'1.30,1.44%,3.70%,'+40.63%,化学制药
'136,600722.金牛化工,'6.14,'-0.16%,222.71%,'41,'135,'11,7.80%,'78.31,'3.45,'-,4.51%,'+31.20%,化学原料
'137,002035.华帝股份,'6.54,0.00%,222.19%,'55,'178,'12,45.55%,'11.87,'1.43,4.59%,12.36%,'-6.73%,家电行业
'138,600137.浪莎股份,'20.35,'-0.97%,217.97%,'19,'63,'4,21.44%,'71.42,'3.63,0.91%,5.13%,'+46.32%,纺织服装
'139,601019.山东出版,'9.22,'+0.77%,215.71%,'190,'602,'60,32.00%,'13.81,'1.25,3.39%,9.12%,'-16.39%,文化传媒
'140,001213.中铁特货,'4.29,'-0.69%,213.78%,'192,'602,'48,8.12%,'33.51,'1.00,1.41%,3.00%,'+4.43%,物流行业
'141,600522.中天科技,'14.59,'+0.41%,212.48%,'495,'1549,'98,37.24%,'17.53,'1.39,2.06%,8.15%,'+4.05%,通信设备
'142,603630.拉芳家化,'25.12,'+2.99%,211.49%,'54,'171,'11,11.14%,'207.46,'2.84,0.57%,1.36%,'+83.03%,美容护理
'143,603519.立霸股份,'13.19,'+1.00%,210.93%,'34,'108,'5,17.90%,'21.45,'2.54,7.66%,11.41%,'+20.16%,家电行业
'144,301222.浙江恒威,'30.85,'-0.32%,210.11%,'31,'97,'6,4.30%,'27.23,'2.20,0.97%,8.24%,'+22.56%,电池
'145,301006.迈拓股份,'17.50,'-1.13%,208.03%,'24,'75,'4,12.14%,'30.95,'1.96,1.13%,6.40%,'+34.46%,仪器仪表
'146,688767.博拓生物,'36.33,'+4.61%,204.86%,'51,'158,'16,4.70%,'37.42,'2.14,3.09%,5.73%,'+59.83%,医疗器械
'147,600367.红星发展,'15.69,'-0.70%,204.62%,'53,'164,'7,16.58%,'48.10,'2.23,0.19%,4.74%,'+36.17%,化学原料
'148,002452.长高电新,'7.44,'-0.27%,204.13%,'46,'140,'9,31.50%,'18.09,'1.89,1.07%,10.98%,'+1.44%,电网设备
'149,603948.建业股份,'21.32,'-0.47%,202.36%,'34,'105,'8,19.60%,'17.42,'1.63,4.67%,9.48%,'+21.86%,化学制品
'150,300059.东方财富,'23.99,'+0.80%,197.74%,'3761,'11199,'849,74.88%,'36.27,'4.52,0.25%,13.23%,'-6.81%,互联网服务
'151,000596.古井贡酒,'146.28,'-0.31%,194.48%,'775,'2284,'154,35.87%,'13.42,'2.93,4.09%,23.11%,'-11.92%,酿酒行业
'152,300557.理工光科,'28.45,'-1.08%,194.36%,'34,'102,'6,36.60%,'97.12,'3.50,0.53%,3.68%,'+13.91%,仪器仪表
