排名,股票,价,涨,便宜指数,北上持股,PE.扣非,PE.TTM,PB,股息,ROE,市值(亿),今年来,行业
'1,SH600015.华夏银行,'8.08,0.00%,'13.98,3.22%,'4.81,'4.79,'0.35,5.01%,7.77%,'1285.93,'+6.13%,银行
'2,SH601997.贵阳银行,'6.46,'-0.92%,'13.71,4.23%,'4.73,'4.67,'0.35,4.49%,7.75%,'236.19,'+13.00%,银行
'3,SZ000498.山东路桥,'5.88,'-0.34%,'13.12,1.48%,'4.24,'3.94,'0.38,3.39%,9.86%,'91.59,'+1.70%,工程建设
'4,SH601169.北京银行,'6.52,'-0.46%,'12.99,4.46%,'5.36,'5.38,'0.38,4.91%,7.35%,'1378.52,'+11.25%,银行
'5,SH601186.中国铁建,'8.10,'-0.25%,'12.97,1.27%,'5.36,'5.15,'0.33,3.70%,6.56%,'931.76,'-8.50%,工程建设
'6,SH600016.民生银行,'4.98,'-1.39%,'12.15,3.50%,'6.87,'6.90,'0.33,3.86%,4.89%,'1766.01,'+21.98%,银行
'7,SH601818.光大银行,'4.12,0.00%,'11.97,2.89%,'5.79,'5.83,'0.42,4.59%,7.25%,'1911.96,'+11.71%,银行
'8,SZ000001.平安银行,'12.46,'-0.08%,'11.82,4.27%,'5.50,'5.54,'0.48,4.88%,8.81%,'2419.92,'+9.85%,银行
'9,SH601668.中国建筑,'5.66,'-0.18%,'11.68,3.88%,'5.61,'5.05,'0.49,4.80%,10.06%,'2338.73,'-1.26%,工程建设
'10,SH601919.中远海控,'15.63,'+1.10%,'11.42,3.50%,'4.49,'4.48,'0.99,9.96%,24.18%,'1970.93,'+7.69%,航运港口
'11,SH601577.长沙银行,'10.21,'+0.20%,'11.30,3.61%,'5.19,'5.19,'0.52,4.11%,10.71%,'410.60,'+19.70%,银行
'12,SH601916.浙商银行,'3.44,'-0.58%,'11.20,3.05%,'6.19,'6.21,'0.47,4.53%,7.72%,'741.13,'+23.45%,银行
'13,SH601390.中国中铁,'5.68,0.00%,'11.17,3.04%,'6.19,'5.32,'0.39,3.13%,7.51%,'1166.31,'-8.28%,工程建设
'14,SH600502.安徽建工,'4.83,'-0.41%,'11.11,1.29%,'6.66,'6.16,'0.50,5.59%,9.14%,'82.91,'+6.93%,工程建设
'15,SZ001227.兰州银行,'2.47,'-0.80%,'10.82,2.20%,'7.94,'7.46,'0.40,4.06%,5.51%,'141.82,'+4.58%,银行
'16,SZ002839.张家港行,'4.53,'-0.88%,'10.66,4.34%,'5.96,'5.89,'0.56,4.38%,10.07%,'111.71,'+8.55%,银行
'17,SH601166.兴业银行,'22.98,'-0.48%,'10.65,3.53%,'6.38,'6.34,'0.54,4.61%,8.89%,'4863.22,'+25.53%,银行
'18,SH601229.上海银行,'10.50,'+0.10%,'10.57,4.57%,'6.28,'6.29,'0.58,4.76%,9.41%,'1491.94,'+17.17%,银行
'19,SH600248.陕建股份,'3.91,0.00%,'10.48,0.43%,'6.86,'5.18,'0.46,3.59%,9.74%,'146.22,'-10.67%,工程建设
'20,SZ002807.江阴银行,'4.76,'-0.83%,'10.20,3.35%,'5.92,'5.78,'0.63,4.17%,11.30%,'118.15,'+14.61%,银行
'21,SH600908.无锡银行,'6.15,'-0.49%,'9.97,1.56%,'6.10,'5.94,'0.57,3.58%,9.97%,'134.97,'+7.69%,银行
'22,SH601077.渝农商行,'6.91,0.00%,'9.97,4.28%,'6.89,'6.69,'0.59,4.41%,9.04%,'611.10,'+19.81%,银行
'23,SH601998.中信银行,'8.38,'-0.59%,'9.86,0.91%,'6.83,'6.77,'0.58,4.15%,8.75%,'3415.94,'+22.41%,银行
'24,SZ002958.青农商行,'3.55,'-0.56%,'9.81,2.77%,'7.30,'6.74,'0.48,3.36%,7.32%,'198.34,'+20.50%,银行
'25,SH600820.隧道股份,'6.64,'-0.60%,'9.81,1.54%,'8.47,'7.65,'0.58,4.97%,8.31%,'208.77,'-7.65%,工程建设
'26,SH601665.齐鲁银行,'6.24,'-0.32%,'9.79,2.54%,'6.26,'6.13,'0.66,4.06%,11.31%,'317.45,'+16.75%,银行
'27,SH600153.建发股份,'10.20,'-0.10%,'9.75,3.69%,'17.19,'10.11,'0.42,6.98%,4.11%,'295.75,'+4.05%,贸易行业
'28,SH600919.江苏银行,'11.69,'-0.60%,'9.72,5.33%,'6.67,'6.58,'0.69,4.45%,11.42%,'2145.27,'+25.03%,银行
'29,SH603323.苏农银行,'5.42,'-0.73%,'9.71,5.62%,'5.74,'5.55,'0.60,3.02%,11.43%,'109.40,'+16.06%,银行
'30,SH601963.重庆银行,'10.33,'-0.48%,'9.69,2.94%,'7.01,'6.90,'0.58,4.01%,8.62%,'195.81,'+15.95%,银行
'31,SH601838.成都银行,'18.93,'-0.37%,'9.68,5.83%,'6.18,'6.16,'0.91,4.71%,15.96%,'802.34,'+15.94%,银行
'32,SH601528.瑞丰银行,'5.71,'-0.70%,'9.67,4.37%,'6.45,'5.75,'0.59,3.50%,10.82%,'112.04,'+5.43%,银行
'33,SH601800.中国交建,'9.21,'-0.11%,'9.64,0.96%,'7.90,'6.60,'0.47,3.28%,7.22%,'1092.32,'-8.89%,工程建设
'34,SH601187.厦门银行,'7.10,0.00%,'9.64,2.96%,'7.50,'7.53,'0.59,4.37%,7.96%,'187.38,'+28.87%,银行
'35,SH601860.紫金银行,'3.01,'-0.66%,'9.53,2.53%,'6.73,'6.72,'0.55,3.32%,8.42%,'110.20,'+9.42%,银行
'36,SH601825.沪农商行,'9.33,'-0.53%,'9.36,1.83%,'7.35,'7.32,'0.72,4.63%,10.16%,'899.83,'+11.75%,银行
'37,SH600928.西安银行,'3.90,'+0.26%,'9.30,2.00%,'6.71,'6.70,'0.51,2.56%,7.93%,'173.33,'+10.64%,银行
'38,SH601328.交通银行,'7.72,'-0.64%,'9.21,2.62%,'7.32,'7.26,'0.59,3.61%,8.24%,'4118.77,'+4.54%,银行
'39,SZ002966.苏州银行,'8.69,'-0.46%,'9.14,2.67%,'7.63,'7.55,'0.68,4.22%,9.87%,'390.29,'+9.63%,银行
'40,SH601009.南京银行,'11.98,'+0.17%,'8.90,2.88%,'7.29,'7.20,'0.77,4.09%,11.17%,'1481.16,'+14.38%,银行
'41,SZ002948.青岛银行,'5.11,'+0.99%,'8.88,1.83%,'6.79,'6.63,'0.66,3.16%,10.37%,'178.54,'+35.89%,银行
'42,SH601398.工商银行,'7.76,0.00%,'8.87,0.92%,'7.66,'7.63,'0.69,3.97%,9.18%,'20921.91,'+16.98%,银行
'43,SH601988.中国银行,'5.66,'+0.18%,'8.87,0.69%,'7.74,'7.72,'0.65,3.78%,8.62%,'13504.20,'+7.35%,银行
'44,SZ002936.郑州银行,'2.10,'-0.47%,'8.87,1.23%,'9.94,'9.97,'0.35,0.95%,3.55%,'149.21,'+0.91%,银行
'45,SH600926.杭州银行,'16.36,'-0.43%,'8.81,4.28%,'6.72,'6.64,'0.81,3.58%,13.61%,'1185.94,'+13.83%,银行
'46,SH600036.招商银行,'45.12,'-0.29%,'8.63,6.62%,'7.73,'7.71,'0.91,4.43%,12.48%,'9307.78,'+19.78%,银行
'47,SZ000543.皖能电力,'7.12,0.00%,'8.45,0.33%,'7.94,'7.86,'1.00,4.48%,13.52%,'161.40,'-5.90%,电力行业
'48,SZ002142.宁波银行,'28.92,'+1.51%,'8.45,3.77%,'6.80,'6.83,'0.80,3.16%,12.37%,'1881.36,'+22.93%,银行
'49,SH601128.常熟银行,'7.68,'+0.26%,'8.38,3.17%,'6.49,'6.46,'0.86,2.96%,14.12%,'254.71,'+15.20%,银行
'50,SH601717.中创智领,'17.39,0.00%,'8.35,5.04%,'8.47,'7.80,'1.38,6.44%,18.16%,'268.18,'+42.96%,汽车零部件
'51,SZ002091.江苏国泰,'7.38,'-0.67%,'8.32,1.73%,'11.32,'10.65,'0.76,5.38%,7.24%,'120.93,'+5.03%,贸易行业
'52,SH600970.中材国际,'9.12,'-0.22%,'8.30,2.35%,'9.03,'8.00,'1.11,4.93%,14.51%,'240.76,'+1.13%,工程建设
'53,SH601288.农业银行,'6.62,'+1.22%,'8.29,0.96%,'8.18,'8.17,'0.74,3.65%,9.26%,'21133.97,'+29.36%,银行
'54,SH601857.中国石油,'8.64,'+0.58%,'8.29,0.53%,'9.08,'9.54,'1.01,5.44%,10.85%,'13990.07,'-0.58%,石油行业
'55,SH600219.南山铝业,'4.05,'+0.75%,'8.28,6.45%,'8.15,'8.28,'0.91,4.21%,11.42%,'470.35,'+6.16%,有色金属
'56,SH600000.浦发银行,'13.79,'+0.29%,'8.25,2.94%,'9.36,'9.19,'0.56,2.97%,6.10%,'4173.91,'+38.08%,银行
'57,SH601658.邮储银行,'5.90,'+0.85%,'8.23,0.94%,'8.33,'8.26,'0.71,3.51%,8.57%,'5914.09,'+9.02%,银行
'58,SH600008.首创环保,'3.10,0.00%,'8.21,1.90%,'14.32,'6.38,'0.77,5.48%,12.06%,'227.56,'-0.27%,公用事业
'59,SH600704.物产中大,'5.44,'-0.73%,'8.19,2.51%,'10.68,'8.70,'0.65,3.88%,7.96%,'281.31,'+11.53%,物流行业
'60,SH600096.云天化,'24.56,'+1.32%,'8.16,12.59%,'8.91,'8.67,'1.89,5.74%,23.52%,'447.73,'+16.89%,化肥行业
'61,SH600741.华域汽车,'18.02,'+0.50%,'8.03,4.42%,'9.75,'8.48,'0.90,4.44%,10.95%,'568.12,'+6.87%,汽车零部件
'62,SH600023.浙能电力,'5.24,'-0.19%,'8.00,1.28%,'10.96,'10.02,'0.94,5.53%,9.72%,'702.62,'-2.40%,电力行业
'63,SH601107.四川成渝,'5.64,'-1.23%,'7.99,1.27%,'11.87,'11.32,'0.86,5.14%,8.44%,'121.98,'+12.90%,铁路公路
'64,SH600582.天地科技,'6.32,'+0.48%,'7.99,1.80%,'11.60,'7.77,'1.01,5.02%,13.59%,'261.56,'+7.70%,专用设备
'65,SH603368.柳药集团,'18.33,'-1.13%,'7.96,0.82%,'8.96,'8.75,'0.92,4.11%,11.23%,'72.80,'+7.27%,医药商业
'66,SH601156.东航物流,'14.39,'+0.91%,'7.96,1.07%,'9.09,'8.64,'1.27,4.70%,15.51%,'228.45,'-12.78%,物流行业
'67,SH600694.大商股份,'19.47,'-0.76%,'7.94,4.50%,'12.18,'11.51,'0.76,4.67%,6.67%,'67.71,'-15.22%,商业百货
'68,SH600035.楚天高速,'4.32,'-0.23%,'7.91,1.77%,'9.79,'9.11,'0.78,3.94%,8.79%,'69.56,'-2.38%,铁路公路
'69,SZ000726.鲁泰Ａ,'6.98,'+1.16%,'7.89,'-,'12.57,'11.50,'0.59,3.62%,5.20%,'40.79,'+8.82%,纺织服装
'70,SH600938.中国海油,'26.01,'-0.08%,'7.87,1.99%,'9.44,'9.17,'1.58,4.93%,18.09%,'777.70,'-9.85%,石油行业
'71,SZ000685.中山公用,'9.71,'+0.41%,'7.86,1.09%,'10.70,'10.84,'0.83,4.47%,7.77%,'142.64,'+10.51%,公用事业
'72,SH600269.赣粤高速,'5.15,'-0.19%,'7.82,1.98%,'10.85,'9.14,'0.63,3.30%,7.08%,'120.27,'-5.17%,铁路公路
'73,SH600020.中原高速,'4.59,0.00%,'7.81,1.27%,'11.30,'10.83,'0.66,3.70%,6.24%,'103.15,'+12.58%,铁路公路
'74,SH600642.申能股份,'8.15,'+0.12%,'7.79,1.25%,'11.53,'10.51,'1.00,5.52%,10.02%,'398.87,'-9.65%,电力行业
'75,SH600461.洪城环境,'9.34,'-1.06%,'7.77,0.63%,'10.29,'10.01,'1.23,4.97%,12.95%,'119.94,'-1.44%,公用事业
'76,SH600177.雅戈尔,'7.43,'-0.13%,'7.77,1.76%,'13.29,'12.99,'0.83,6.73%,6.47%,'343.52,'-13.17%,纺织服装
'77,SZ002532.天山铝业,'9.20,'+0.33%,'7.59,2.42%,'9.19,'8.90,'1.53,4.36%,18.20%,'426.58,'+19.79%,有色金属
'78,SH600894.广日股份,'10.29,'-0.58%,'7.58,0.69%,'12.56,'10.87,'1.00,13.35%,8.94%,'87.64,'-25.44%,专用设备
'79,SH601318.中国平安,'59.06,'-0.14%,'7.58,5.94%,'9.69,'9.20,'1.14,4.32%,12.68%,'6356.43,'+15.43%,保险
'80,SH688516.奥特维,'35.60,'+1.83%,'7.58,1.15%,'10.98,'10.39,'2.66,6.90%,26.23%,'112.37,'-13.77%,光伏设备
'81,SH603889.新澳股份,'6.13,'+0.99%,'7.57,0.34%,'10.74,'10.33,'1.27,4.89%,12.77%,'44.78,'-8.05%,纺织服装
'82,SZ002083.孚日股份,'5.01,'+0.81%,'7.56,'-,'12.22,'12.22,'1.04,5.51%,9.10%,'47.05,'+5.61%,纺织服装
'83,SZ002061.浙江交科,'4.06,'-0.25%,'7.55,0.96%,'10.32,'8.08,'0.70,3.07%,8.98%,'108.69,'+2.68%,工程建设
'84,SH601618.中国中冶,'3.03,'+0.33%,'7.53,2.40%,'15.54,'11.07,'0.44,1.85%,3.84%,'540.93,'-6.48%,工程建设
'85,SH601598.中国外运,'5.53,'+0.55%,'7.52,0.87%,'13.39,'10.70,'1.00,5.24%,9.55%,'290.65,'+6.18%,物流行业
'86,SH600729.重庆百货,'28.86,'-0.21%,'7.51,2.83%,'10.36,'9.38,'1.60,4.72%,17.90%,'127.12,'+3.50%,商业百货
'87,SZ000581.威孚高科,'20.57,'+5.81%,'7.48,2.59%,'13.93,'12.83,'0.93,5.98%,7.30%,'154.43,'+14.01%,汽车零部件
'88,SH600873.梅花生物,'11.12,'-0.71%,'7.47,2.82%,'10.70,'10.55,'2.05,5.41%,19.84%,'317.23,'+15.26%,化学制品
'89,SZ000900.现代投资,'4.31,0.00%,'7.47,1.43%,'21.06,'19.99,'0.52,3.48%,2.60%,'65.42,'+1.38%,铁路公路
'90,SH600011.华能国际,'7.58,'+0.40%,'7.45,2.09%,'9.80,'9.96,'0.84,3.56%,8.61%,'833.63,'+16.18%,电力行业
'91,SH600028.中国石化,'5.71,0.00%,'7.45,0.91%,'16.07,'15.30,'0.83,5.01%,5.42%,'5551.96,'-12.46%,石油行业
'92,SZ000928.中钢国际,'6.34,'+0.16%,'7.45,1.47%,'11.85,'10.66,'1.06,4.72%,10.20%,'90.81,'+4.22%,工程咨询服务
'93,SH600039.四川路桥,'8.34,'-0.95%,'7.44,1.32%,'11.39,'10.05,'1.46,4.96%,14.95%,'726.42,'+19.54%,工程建设
'94,SH600027.华电国际,'5.31,0.00%,'7.43,2.03%,'10.29,'10.04,'0.87,3.84%,8.24%,'487.95,'-3.08%,电力行业
'95,SH603558.健盛集团,'9.60,'+0.84%,'7.43,'-,'11.21,'11.20,'1.35,5.30%,12.17%,'33.91,'-7.70%,纺织服装
'96,SZ000719.中原传媒,'13.16,'-0.08%,'7.43,4.79%,'10.18,'12.17,'1.16,4.56%,9.81%,'134.76,'+21.42%,文化传媒
'97,SH600866.星湖科技,'8.02,'-0.74%,'7.40,2.18%,'9.87,'11.43,'1.59,4.74%,14.36%,'133.25,'+30.73%,化学制品
'98,SH601939.建设银行,'9.58,'-0.62%,'7.38,3.68%,'7.56,'7.55,'0.74,1.91%,10.02%,'2029.34,'+14.02%,银行
'99,SZ000544.中原环保,'8.60,'+0.12%,'7.37,0.53%,'9.39,'8.60,'0.82,3.03%,10.47%,'83.73,'+1.67%,公用事业
'100,SH603408.建霖家居,'11.75,'-0.51%,'7.35,1.39%,'11.48,'10.90,'1.54,6.21%,14.63%,'52.59,'-1.94%,装修装饰
'101,SZ002788.鹭燕医药,'8.60,'-1.26%,'7.33,'-,'10.09,'10.16,'1.05,4.02%,10.66%,'33.84,'+9.14%,医药商业
'102,SZ000521.长虹美菱,'7.33,'+0.69%,'7.32,1.73%,'11.05,'10.34,'1.20,4.53%,11.84%,'64.19,'-6.15%,家电行业
'103,SH603355.莱克电气,'23.55,'+0.04%,'7.29,1.17%,'12.18,'11.38,'2.61,6.37%,24.19%,'135.05,'+3.97%,家电行业
'104,SH600888.新疆众和,'7.15,'+0.42%,'7.29,0.89%,'11.27,'9.23,'0.89,3.78%,10.13%,'100.37,'+4.77%,有色金属
'105,SH603801.志邦家居,'10.04,'+0.20%,'7.27,0.43%,'12.97,'11.47,'1.23,6.01%,11.05%,'43.61,'-16.80%,装修建材
'106,SH600256.广汇能源,'5.47,'+0.37%,'7.27,1.43%,'12.15,'12.28,'1.26,11.56%,9.91%,'349.64,'-9.62%,石油行业
'107,SH600018.上港集团,'5.70,0.00%,'7.24,0.71%,'9.63,'8.75,'0.97,3.42%,11.47%,'1327.04,'-4.45%,航运港口
'108,SH603279.景津装备,'15.80,'-0.44%,'7.23,3.81%,'11.66,'11.58,'1.97,6.71%,17.88%,'91.08,'-9.41%,通用设备
'109,SZ000933.神火股份,'18.31,'+3.04%,'7.22,1.74%,'10.47,'10.18,'1.78,4.50%,18.07%,'399.71,'+11.54%,有色金属
'110,SZ000672.上峰水泥,'8.86,'-0.23%,'7.22,1.05%,'16.74,'12.43,'0.95,7.09%,7.75%,'86.08,'+24.59%,水泥建材
'111,SH600483.福能股份,'9.59,'+0.21%,'7.22,0.68%,'8.96,'8.83,'1.02,3.23%,12.43%,'266.62,'-0.70%,电力行业
'112,SH600757.长江传媒,'9.72,'+1.04%,'7.21,2.09%,'10.36,'10.88,'1.19,4.22%,11.26%,'117.97,'+5.96%,文化传媒
'113,SZ000683.博源化工,'5.73,0.00%,'7.21,0.53%,'11.59,'13.48,'1.43,5.24%,10.88%,'213.08,'+8.83%,化学原料
'114,SZ002572.索菲亚,'13.82,'-0.43%,'7.18,4.11%,'12.29,'10.98,'1.79,7.20%,16.74%,'133.67,'-13.88%,装修建材
'115,SZ001872.招商港口,'20.36,'+0.30%,'7.18,0.46%,'11.83,'11.11,'0.81,3.65%,7.46%,'471.29,'+3.11%,航运港口
'116,SH601222.林洋能源,'5.82,0.00%,'7.17,0.97%,'17.48,'18.21,'0.78,4.60%,4.25%,'119.90,'-14.47%,仪器仪表
'117,SH601117.中国化学,'8.02,'+0.25%,'7.17,4.82%,'8.48,'8.28,'0.77,2.22%,9.65%,'489.92,'-3.26%,工程建设
'118,SH600987.航民股份,'7.25,'+0.42%,'7.17,3.86%,'10.76,'10.17,'1.14,4.14%,11.36%,'74.01,'+8.95%,纺织服装
'119,SH600863.内蒙华电,'4.06,'+0.25%,'7.15,0.61%,'12.39,'12.15,'1.41,5.42%,11.46%,'264.99,'-1.28%,电力行业
'120,SH601000.唐山港,'4.06,'+0.25%,'7.14,1.01%,'13.69,'13.23,'1.14,4.93%,8.73%,'240.59,'-9.55%,航运港口
'121,SH600901.江苏金租,'5.93,'-1.33%,'7.13,1.31%,'11.65,'11.44,'1.38,4.55%,13.71%,'343.49,'+18.70%,多元金融
'122,SZ000885.城发环境,'14.12,'-0.28%,'7.12,0.85%,'7.92,'7.63,'1.04,2.51%,14.46%,'90.92,'+10.61%,环保行业
'123,SH600273.嘉化能源,'8.89,'-2.95%,'7.11,1.72%,'12.62,'11.39,'1.17,4.61%,10.45%,'120.63,'+14.20%,化学制品
'124,SH600098.广州发展,'6.49,'+0.31%,'7.09,0.67%,'13.99,'13.10,'0.85,4.16%,6.59%,'227.56,'+5.41%,电力行业
'125,SH600566.济川药业,'26.78,'-0.59%,'7.09,1.43%,'12.78,'11.61,'1.63,7.80%,14.50%,'246.83,'-0.77%,中药
'126,SH605377.华旺科技,'9.18,'+0.44%,'7.05,0.28%,'13.93,'12.69,'1.26,7.90%,9.82%,'51.10,'-13.96%,造纸印刷
'127,SZ002508.老板电器,'19.45,'+0.05%,'7.04,9.62%,'12.97,'12.09,'1.59,5.14%,13.53%,'183.70,'-6.86%,家电行业
'128,SH600210.紫江企业,'6.35,0.00%,'7.02,2.54%,'12.12,'11.73,'1.52,4.72%,13.40%,'96.31,'+0.49%,包装材料
'129,SZ002088.鲁阳节能,'11.09,'-0.63%,'7.01,0.48%,'12.37,'12.51,'1.94,7.17%,15.66%,'57.26,'-7.14%,装修建材
'130,SZ002035.华帝股份,'6.50,'+1.25%,'7.01,7.30%,'12.32,'11.66,'1.40,4.67%,12.36%,'54.42,'-7.30%,家电行业
'131,SZ000338.潍柴动力,'15.24,'-0.13%,'6.99,8.92%,'12.47,'11.55,'1.49,4.72%,13.36%,'1033.50,'+13.69%,汽车零部件
'132,SH601872.招商轮船,'6.25,'+2.12%,'6.95,2.93%,'11.19,'10.98,'1.24,4.11%,11.64%,'504.66,'-0.16%,航运港口
'133,SH600284.浦东建设,'6.81,0.00%,'6.94,1.52%,'14.55,'11.67,'0.84,3.92%,7.29%,'66.07,'+10.19%,工程建设
'134,SH601518.吉林高速,'2.73,'-0.73%,'6.94,0.03%,'10.13,'9.67,'0.94,3.15%,10.03%,'51.61,'+1.35%,铁路公路
'135,SH600066.宇通客车,'25.65,'-1.65%,'6.94,10.72%,'16.04,'13.48,'4.01,5.85%,29.34%,'567.88,'+1.02%,汽车整车
'136,SH601006.大秦铁路,'6.52,'-0.31%,'6.93,2.68%,'15.35,'15.34,'0.79,3.94%,5.40%,'1313.60,'-1.78%,物流行业
'137,SH601669.中国电建,'6.33,'-1.40%,'6.92,2.96%,'10.22,'9.40,'0.66,2.01%,7.03%,'1090.42,'+18.92%,工程建设
'138,SZ002327.富安娜,'7.28,'+0.14%,'6.92,1.04%,'13.60,'12.80,'1.54,8.53%,11.99%,'60.94,'-11.38%,纺织服装
'139,SH601339.百隆东方,'5.47,'-0.73%,'6.90,1.19%,'21.92,'16.30,'0.84,4.75%,5.17%,'82.03,'+5.94%,纺织服装
'140,SZ000333.美的集团,'71.70,'+0.45%,'6.89,14.64%,'13.96,'13.06,'2.38,4.91%,20.86%,'5013.70,'-0.07%,家电行业
'141,SH601168.西部矿业,'17.47,'+0.58%,'6.89,4.92%,'13.41,'13.09,'2.51,5.72%,19.66%,'416.31,'+15.73%,有色金属
'142,SH601601.中国太保,'37.40,'-0.40%,'6.88,3.19%,'8.41,'8.40,'1.36,2.89%,16.43%,'2560.05,'+12.97%,保险
'143,SH603071.物产环能,'13.53,'+0.52%,'6.87,0.64%,'12.50,'11.55,'1.33,4.43%,11.81%,'75.49,'+9.86%,贸易行业
'144,SZ002267.陕天然气,'8.00,'+0.88%,'6.87,0.87%,'15.79,'12.71,'1.27,5.67%,9.92%,'88.19,'-1.04%,燃气
'145,SZ301039.中集车辆,'8.68,'+0.12%,'6.86,0.44%,'16.46,'16.26,'1.11,6.46%,6.74%,'126.03,'-0.81%,汽车整车
'146,SZ002884.凌霄泵业,'16.52,'+0.36%,'6.86,0.94%,'13.56,'13.02,'2.43,6.08%,19.02%,'58.87,'-3.90%,通用设备
'147,SZ002563.森马服饰,'5.55,'+2.02%,'6.86,6.37%,'15.60,'14.58,'1.22,6.43%,8.41%,'146.56,'-16.04%,纺织服装
'148,SH603365.水星家纺,'17.82,'-0.11%,'6.85,'-,'14.39,'12.89,'1.52,5.05%,11.97%,'46.80,'+15.30%,纺织服装
'149,SZ002060.广东建工,'3.66,'-0.27%,'6.85,0.73%,'12.02,'12.06,'0.99,3.81%,8.45%,'137.79,'+4.13%,工程建设
'150,SZ002233.塔牌集团,'8.25,'-0.24%,'6.85,1.17%,'31.35,'17.79,'0.81,5.44%,4.56%,'98.60,'+13.74%,水泥建材
'151,SH600362.江西铜业,'23.52,'+2.57%,'6.84,3.31%,'9.09,'11.31,'1.02,2.98%,9.48%,'488.10,'+17.30%,有色金属
'152,SZ000404.长虹华意,'7.35,'-0.54%,'6.80,0.14%,'12.22,'10.70,'1.23,4.06%,11.99%,'51.43,'+3.59%,家电行业
'153,SH601163.三角轮胎,'14.08,'+0.50%,'6.79,1.54%,'15.38,'11.56,'0.83,3.76%,7.28%,'112.64,'-3.07%,橡胶制品
'154,SH600585.海螺水泥,'23.37,'-0.04%,'6.76,4.83%,'16.17,'15.47,'0.65,3.04%,4.25%,'934.73,'+1.51%,水泥建材
'155,SZ002818.富森美,'12.03,'-0.17%,'6.76,0.94%,'13.75,'13.86,'1.65,8.96%,11.25%,'90.19,'-15.42%,商业百货
'156,SZ002538.司尔特,'5.44,'-0.73%,'6.75,0.92%,'18.20,'17.01,'0.87,4.38%,5.15%,'46.77,'-0.93%,化肥行业
'157,SZ300628.亿联网络,'34.05,'+0.09%,'6.75,3.14%,'17.61,'16.31,'4.53,5.57%,29.02%,'430.85,'-8.46%,通信设备
'158,SH600998.九州通,'5.33,'-1.48%,'6.75,1.79%,'14.94,'9.14,'0.95,3.75%,11.14%,'268.76,'+8.12%,医药商业
'159,SZ002483.润邦股份,'7.03,'+3.23%,'6.74,4.85%,'13.14,'12.25,'1.35,4.41%,11.57%,'60.37,'+41.71%,专用设备
'160,SH603833.欧派家居,'53.35,'+0.13%,'6.74,1.92%,'13.32,'12.09,'1.68,4.65%,14.28%,'324.98,'-19.30%,装修建材
'161,SH603565.中谷物流,'10.27,'+0.20%,'6.73,0.92%,'17.16,'10.82,'1.86,7.69%,17.56%,'215.68,'+13.39%,物流行业
'162,SH600583.海油工程,'5.60,'+0.54%,'6.73,2.61%,'13.13,'11.12,'0.92,3.59%,8.55%,'247.60,'+6.32%,采掘行业
'163,SZ300770.新媒股份,'41.41,'-0.24%,'6.70,1.08%,'13.96,'14.18,'2.54,6.91%,17.71%,'95.11,'+4.39%,文化传媒
'164,SH601886.江河集团,'7.50,'+2.18%,'6.69,3.87%,'20.16,'14.15,'1.13,7.33%,8.13%,'84.98,'+48.70%,装修装饰
'165,SH603600.永艺股份,'10.97,'+0.27%,'6.68,'-,'11.93,'11.65,'1.57,4.20%,13.86%,'36.25,'-5.08%,装修建材
'166,SZ300441.鲍斯股份,'8.39,'+0.24%,'6.67,0.09%,'19.44,'6.60,'2.12,5.38%,36.66%,'53.94,'-0.14%,通用设备
'167,SH600170.上海建工,'2.41,'-0.82%,'6.66,2.08%,'67.10,'12.61,'0.47,2.49%,3.74%,'214.15,'-6.85%,工程建设
'168,SH600681.百川能源,'3.68,'-0.81%,'6.66,0.96%,'17.06,'14.82,'1.31,6.39%,8.87%,'49.34,'+9.66%,燃气
