序,股票,关注度,价,涨,北上持股,扣非PE,PB,股息,ROE,市值(亿),今年来,行业
'1,SH600519.贵州茅台,'866,'1423.88,'-0.27%,5.80%,'20.09,'6.92,3.62%,35.74%,'17886.75,'-4.74%,酿酒行业
'2,SH600900.长江电力,'634,'27.97,'-0.46%,6.19%,'20.27,'3.17,3.37%,16.00%,'6843.76,'-2.27%,电力行业
'3,SZ000858.五粮液,'632,'122.16,'+0.17%,3.08%,'14.54,'3.20,4.71%,22.39%,'4733.62,'-8.71%,酿酒行业
'4,SZ000333.美的集团,'518,'71.70,'+0.45%,14.64%,'13.96,'2.38,4.91%,20.86%,'5013.70,'-0.07%,家电行业
'5,SZ300750.宁德时代,'448,'265.00,'-0.26%,13.78%,'23.24,'4.11,2.18%,23.77%,'11699.82,'+2.10%,电池
'7,SH601919.中远海控,'439,'15.63,'+1.10%,3.50%,'4.49,'0.99,9.96%,24.18%,'1970.93,'+7.69%,航运港口
'6,SZ000651.格力电器,'431,'46.90,'+0.39%,6.82%,'8.36,'1.83,2.14%,25.25%,'2616.98,'+5.43%,家电行业
'8,SH600036.招商银行,'425,'45.12,'-0.29%,6.62%,'7.73,'0.91,4.43%,12.48%,'9307.78,'+19.78%,银行
'9,SH601318.中国平安,'424,'59.06,'-0.14%,5.94%,'9.69,'1.14,4.32%,12.68%,'6356.43,'+15.43%,保险
'10,SZ002594.比亚迪,'388,'104.35,'-0.49%,7.07%,'23.09,'4.10,1.26%,23.82%,'5697.88,'+12.07%,汽车整车
'12,SH601088.中国神华,'368,'37.56,'-1.57%,1.04%,'13.48,'1.72,6.02%,12.74%,'6194.03,'-8.58%,煤炭行业
'11,SZ000568.泸州老窖,'362,'127.58,'+0.45%,2.22%,'13.91,'3.73,1.07%,27.99%,'1869.53,'+3.10%,酿酒行业
'13,SH600276.恒瑞医药,'349,'61.58,'-1.16%,8.39%,'61.92,'8.70,0.32%,15.40%,'3928.19,'+34.64%,化学制药
'14,SH603259.药明康德,'343,'93.58,'+0.31%,12.13%,'24.09,'4.49,1.43%,24.03%,'2325.59,'+73.71%,医疗服务
'16,SH601398.工商银行,'337,'7.76,0.00%,0.92%,'7.66,'0.69,3.97%,9.18%,'20921.91,'+16.98%,银行
'15,SZ002714.牧原股份,'330,'46.77,'+1.10%,2.72%,'9.85,'3.31,3.05%,36.00%,'2527.08,'+23.33%,农牧饲渔
'18,SH600887.伊利股份,'327,'27.57,'+0.07%,10.60%,'25.23,'2.99,4.43%,12.61%,'1743.90,'-4.80%,食品饮料
'17,SZ002475.立讯精密,'325,'36.21,'-0.71%,4.73%,'22.19,'3.65,0.55%,21.20%,'2644.81,'-10.66%,消费电子
'19,SH600690.海尔智家,'321,'25.23,'+0.80%,7.19%,'12.78,'2.01,3.82%,17.29%,'1578.01,'-8.18%,家电行业
'22,SH601225.陕西煤业,'298,'21.43,'+5.62%,2.48%,'10.20,'2.15,6.29%,23.53%,'2077.64,'-2.07%,煤炭行业
'21,SH600809.山西汾酒,'295,'182.10,'+0.45%,4.02%,'17.57,'5.79,3.33%,34.84%,'2221.55,'+2.34%,酿酒行业
'20,SH600938.中国海油,'294,'26.01,'-0.08%,1.99%,'9.44,'1.58,4.93%,18.09%,'777.70,'-9.85%,石油行业
'23,SH601899.紫金矿业,'281,'20.16,'+1.46%,7.72%,'15.16,'3.67,1.88%,27.38%,'4150.69,'+35.27%,有色金属
'24,SH600941.中国移动,'274,'108.27,'-0.73%,4.09%,'18.64,'1.68,4.31%,10.22%,'977.43,'-6.56%,通信服务
'25,SH600309.万华化学,'273,'61.08,'+0.15%,4.33%,'15.58,'1.94,2.05%,12.54%,'1912.09,'-13.25%,化学制品
'27,SZ300124.汇川技术,'267,'65.86,'+1.62%,17.60%,'39.01,'5.91,0.63%,17.48%,'1746.86,'+13.14%,电子元件
'26,SZ300760.迈瑞医疗,'266,'228.31,'+0.12%,10.84%,'25.28,'7.16,3.37%,29.79%,'2764.73,'-9.69%,医疗器械
'28,SZ300308.中际旭创,'254,'210.52,'-0.19%,3.72%,'41.50,'11.31,0.24%,31.55%,'2343.57,'+71.13%,通信设备
'29,SH603605.珀莱雅,'253,'82.39,'-0.12%,11.99%,'20.30,'5.63,1.44%,31.86%,'326.47,'-1.32%,美容护理
'34,SZ002415.海康威视,'248,'29.28,'-0.17%,0.44%,'22.45,'3.45,2.39%,16.51%,'2708.10,'-2.26%,计算机设备
'30,SH603288.海天味业,'245,'38.35,'-0.13%,3.52%,'35.31,'6.78,2.24%,20.94%,'2132.49,'-14.79%,食品饮料
'31,SH600406.国电南瑞,'245,'21.96,'+0.18%,13.56%,'23.68,'3.52,2.60%,15.75%,'1763.85,'-11.23%,电网设备
'33,SZ300274.阳光电源,'243,'76.90,'+1.98%,4.20%,'12.73,'3.83,1.43%,36.17%,'1563.41,'+5.92%,光伏设备
'35,SH600132.重庆啤酒,'242,'55.36,'+0.02%,6.24%,'21.56,'16.17,4.34%,53.44%,'267.93,'-10.71%,酿酒行业
'32,SZ000895.双汇发展,'240,'24.95,'-0.12%,1.81%,'18.70,'3.89,5.64%,21.88%,'865.47,'-1.12%,食品饮料
'36,SZ300628.亿联网络,'224,'34.05,'+0.09%,3.14%,'17.61,'4.53,5.57%,29.02%,'430.85,'-8.46%,通信设备
'38,SH601985.中国核电,'215,'9.18,'+0.11%,2.53%,'21.81,'1.66,1.94%,8.53%,'1888.14,'-10.45%,电力行业
'37,SZ300502.新易盛,'213,'186.40,'+2.17%,5.10%,'44.50,'18.26,0.18%,51.96%,'1813.03,'+126.69%,通信设备
'40,SH605117.德业股份,'208,'52.33,'+0.15%,3.57%,'15.81,'4.61,5.18%,40.42%,'473.30,'-10.87%,光伏设备
'39,SH600436.片仔癀,'205,'201.51,'-0.03%,3.19%,'39.75,'7.97,1.47%,20.29%,'1215.74,'-5.21%,中药
'41,SH600660.福耀玻璃,'203,'55.56,'-0.41%,18.64%,'18.32,'3.84,3.24%,23.06%,'1112.86,'-8.12%,玻璃玻纤
'42,SZ300866.安克创新,'203,'131.43,'+5.80%,8.93%,'33.03,'7.10,1.68%,25.95%,'664.60,'+36.66%,消费电子
'43,SH603195.公牛集团,'193,'47.60,'-0.38%,2.97%,'22.78,'5.10,3.60%,26.74%,'860.89,'-1.95%,家用轻工
'44,SZ002371.北方华创,'187,'331.58,'+0.94%,10.19%,'39.07,'7.26,0.24%,20.86%,'2370.47,'+14.76%,半导体
'45,SZ002304.洋河股份,'186,'68.80,'+0.06%,1.36%,'23.53,'2.00,6.76%,7.76%,'1035.83,'-12.15%,酿酒行业
'46,SZ000538.云南白药,'183,'55.96,'-0.39%,3.98%,'21.24,'2.46,4.27%,12.10%,'1002.40,'-4.70%,中药
'47,SH600885.宏发股份,'182,'24.57,'+0.20%,20.32%,'21.67,'3.61,1.50%,18.76%,'358.66,'+9.88%,电网设备
'52,SH601288.农业银行,'179,'6.62,'+1.22%,0.96%,'8.18,'0.74,3.65%,9.26%,'21133.97,'+29.36%,银行
'48,SH600096.云天化,'177,'24.56,'+1.32%,12.59%,'8.91,'1.89,5.74%,23.52%,'447.73,'+16.89%,化肥行业
'55,SZ002463.沪电股份,'176,'52.58,0.00%,6.41%,'36.19,'7.99,0.95%,24.65%,'1011.49,'+34.76%,电子元件
'59,SH600066.宇通客车,'176,'25.65,'-1.65%,10.72%,'16.04,'4.01,5.85%,29.34%,'567.88,'+1.02%,汽车整车
'49,SZ002050.三花智控,'175,'27.65,'+2.71%,4.72%,'34.33,'5.60,1.30%,17.44%,'1004.76,'+18.71%,家电行业
'51,SH600600.青岛啤酒,'175,'67.90,0.00%,3.29%,'22.92,'3.01,3.24%,14.90%,'481.50,'-13.43%,酿酒行业
'57,SZ000338.潍柴动力,'175,'15.24,'-0.13%,8.92%,'12.47,'1.49,4.72%,13.36%,'1033.50,'+13.69%,汽车零部件
'50,SH600219.南山铝业,'174,'4.05,'+0.75%,6.45%,'8.15,'0.91,4.21%,11.42%,'470.35,'+6.16%,有色金属
'54,SH600028.中国石化,'174,'5.71,0.00%,0.91%,'16.07,'0.83,5.01%,5.42%,'5551.96,'-12.46%,石油行业
'58,SH605499.东鹏饮料,'173,'298.03,'-2.23%,9.90%,'40.51,'17.74,1.48%,50.26%,'1549.79,'+20.99%,食品饮料
'53,SH600438.通威股份,'172,'20.42,'-0.63%,3.65%,'-1.00,'1.98,4.43%,'-1.00%,'919.31,'-7.64%,光伏设备
'56,SH688981.中芯国际,'171,'90.78,'+0.87%,3.19%,'227.05,'4.85,0.00%,3.11%,'1805.03,'-4.06%,半导体
'65,SH603129.春风动力,'169,'244.01,'+7.59%,3.88%,'23.56,'5.52,1.58%,26.73%,'372.30,'+58.75%,交运设备
'67,SH601058.赛轮轮胎,'169,'13.29,'+0.45%,4.31%,'10.97,'2.13,2.86%,21.55%,'436.99,'-5.49%,橡胶制品
'61,SZ002001.新和成,'168,'22.26,'+0.14%,6.24%,'9.97,'2.23,3.15%,24.43%,'683.22,'+4.55%,化学制药
'64,SH601328.交通银行,'168,'7.72,'-0.64%,2.62%,'7.32,'0.59,3.61%,8.24%,'4118.77,'+4.54%,银行
'66,SZ000423.东阿阿胶,'167,'51.30,'-0.68%,9.35%,'21.75,'3.10,4.68%,14.99%,'332.61,'-16.29%,中药
'62,SH601012.隆基绿能,'166,'15.94,'+0.13%,5.62%,'-1.00,'2.03,1.07%,'-1.00%,'1207.94,'+1.46%,光伏设备
'63,SH603993.洛阳钼业,'166,'9.51,'+1.39%,3.69%,'13.60,'2.72,2.70%,22.55%,'1660.53,'+47.60%,小金属
'60,SZ003816.中国广核,'160,'3.69,'-0.27%,0.83%,'18.39,'1.53,2.57%,8.55%,'1455.39,'-8.31%,电力行业
'69,SH603345.安井食品,'157,'73.82,'-0.42%,4.07%,'19.18,'1.84,4.53%,10.92%,'216.51,'-7.05%,食品饮料
'70,SZ002352.顺丰控股,'157,'46.42,'-0.39%,7.25%,'24.93,'2.51,3.94%,11.32%,'2247.37,'+16.27%,物流行业
'71,SH601600.中国铝业,'157,'7.53,'+0.67%,4.12%,'9.76,'1.76,1.09%,20.15%,'994.84,'+2.45%,有色金属
'75,SH600188.兖矿能源,'156,'13.31,'+2.54%,1.84%,'10.31,'1.56,5.79%,16.24%,'793.54,'-2.00%,煤炭行业
'76,SZ002555.三七互娱,'155,'17.40,'+1.28%,6.01%,'15.13,'2.83,5.83%,19.53%,'380.06,'+15.67%,游戏
'68,SZ000001.平安银行,'153,'12.46,'-0.08%,4.27%,'5.50,'0.48,4.88%,8.81%,'2419.92,'+9.85%,银行
'74,SH600160.巨化股份,'153,'27.56,'+0.73%,3.15%,'30.95,'4.00,0.83%,14.03%,'744.05,'+15.26%,化学制品
'72,SZ300059.东方财富,'152,'23.63,0.00%,3.06%,'37.29,'4.48,0.25%,13.23%,'3734.49,'-8.21%,互联网服务
'73,SZ300015.爱尔眼科,'152,'12.82,'-0.31%,2.07%,'36.17,'5.49,1.24%,17.85%,'1199.25,'-1.99%,医疗服务
'77,SH600329.达仁堂,'152,'40.90,'+1.59%,0.78%,'42.21,'3.83,3.13%,29.15%,'233.17,'+38.00%,中药
'78,SH600031.三一重工,'149,'20.02,'+1.93%,11.80%,'26.55,'2.27,1.80%,9.51%,'1696.57,'+23.92%,工程机械
'80,SZ002027.分众传媒,'149,'7.80,'-2.62%,5.03%,'24.56,'6.36,1.25%,28.45%,'1156.82,'+10.95%,文化传媒
'89,SH601939.建设银行,'149,'9.58,'-0.62%,3.68%,'7.56,'0.74,1.91%,10.02%,'2029.34,'+14.02%,银行
'92,SZ002891.中宠股份,'149,'57.44,'-2.18%,7.01%,'39.92,'6.20,0.66%,17.67%,'178.73,'+61.28%,农牧饲渔
'93,SZ000999.华润三九,'149,'31.87,'-0.90%,2.61%,'17.85,'2.54,3.16%,15.77%,'536.94,'-5.86%,中药
'85,SH600009.上海机场,'148,'32.23,'-0.34%,3.39%,'52.09,'1.90,0.31%,4.97%,'802.04,'-5.62%,航空机场
'88,SH603799.华友钴业,'148,'42.82,'+0.85%,8.79%,'16.36,'1.89,1.17%,13.31%,'728.60,'+48.51%,能源金属
'81,SZ002179.中航光电,'146,'38.87,'+1.22%,0.97%,'25.66,'3.35,2.08%,14.15%,'813.42,'+0.99%,电子元件
'90,SZ000596.古井贡酒,'145,'139.47,'-0.39%,1.26%,'12.94,'2.80,4.29%,23.11%,'572.08,'-16.02%,酿酒行业
'82,SH600584.长电科技,'144,'34.96,'+0.63%,5.65%,'38.31,'2.25,0.34%,6.21%,'625.58,'-14.12%,半导体
'83,SH603369.今世缘,'144,'39.45,'-0.33%,2.75%,'14.08,'2.88,3.04%,22.08%,'491.86,'-10.32%,酿酒行业
'87,SH600085.同仁堂,'144,'36.68,'-0.68%,2.66%,'33.73,'3.65,2.73%,11.21%,'503.06,'-8.38%,中药
'79,SH601138.工业富联,'141,'34.30,'-2.14%,2.47%,'28.33,'4.33,1.87%,16.04%,'6811.80,'+62.66%,消费电子
'84,SH601857.中国石油,'141,'8.64,'+0.58%,0.53%,'9.08,'1.01,5.44%,10.85%,'13990.07,'-0.58%,石油行业
'86,SH603338.浙江鼎力,'141,'50.32,'+0.46%,6.77%,'15.06,'2.44,1.99%,17.88%,'254.79,'-20.22%,工程机械
'91,SH603087.甘李药业,'140,'64.36,'+1.05%,1.25%,'61.61,'3.42,2.33%,7.50%,'386.85,'+48.45%,生物制品
'96,SZ002466.天齐锂业,'137,'38.16,'+0.24%,4.39%,'-1.00,'1.50,3.55%,'-1.00%,'562.33,'+15.64%,能源金属
'97,SZ002032.苏泊尔,'134,'51.23,'-0.33%,4.34%,'19.73,'5.95,5.47%,33.07%,'411.90,'+1.08%,家电行业
'98,SH600150.中国船舶,'134,'38.51,'+10.00%,3.58%,'44.73,'3.31,0.65%,8.63%,'1722.33,'+7.97%,船舶制造
'100,SH600062.华润双鹤,'133,'20.33,'-0.93%,1.18%,'13.89,'1.93,2.32%,15.32%,'211.18,'+4.73%,化学制药
'94,SH601127.赛力斯,'131,'128.70,'+0.74%,3.36%,'35.92,'9.09,0.99%,37.25%,'2102.14,'-2.78%,汽车整车
'95,SZ300394.天孚通信,'131,'103.03,'-0.17%,2.31%,'58.26,'18.50,0.69%,35.83%,'802.29,'+58.76%,通信设备
'99,SZ300476.胜宏科技,'131,'197.65,'+4.32%,3.21%,'87.94,'16.46,0.16%,21.07%,'1634.54,'+371.51%,电子元件
