序,股票,价,涨,推荐数,北上,扣非PE,PB,股息,ROE,2月内涨,市值.亿,今年来,行业
'1,605499.东鹏饮料,'314.94,'+1.94%,'39,9.90%,'42.81,'18.75,2.20%,50.26%,'+4.55%,'1637.73,'+28.92%,食品饮料
'2,002594.比亚迪,'109.70,'-3.82%,'30,7.07%,'26.14,'4.31,1.21%,22.47%,'+1.88%,'5960.88,'+17.82%,汽车整车
'3,603486.科沃斯,'93.00,'-4.01%,'30,1.65%,'52.60,'6.65,0.48%,15.64%,'+65.72%,'536.01,'+99.54%,家电行业
'4,000729.燕京啤酒,'12.54,'-0.48%,'30,3.39%,'26.45,'2.25,1.52%,9.24%,'-2.56%,'353.44,'+5.70%,酿酒行业
'5,601138.工业富联,'55.62,'+3.33%,'28,2.47%,'41.61,'7.28,1.15%,18.32%,'+115.00%,'11045.84,'+163.77%,消费电子
'6,601128.常熟银行,'7.51,'-0.13%,'28,3.17%,'6.18,'0.83,3.03%,14.38%,'-0.40%,'249.07,'+12.65%,银行
'7,600309.万华化学,'69.02,'+0.61%,'28,4.33%,'18.78,'2.17,1.82%,11.48%,'+24.81%,'2160.65,'-1.98%,化学制品
'8,300979.华利集团,'52.59,'-0.76%,'28,0.49%,'16.96,'3.80,4.37%,23.04%,'-2.14%,'613.73,'-30.20%,纺织服装
'9,002891.中宠股份,'59.51,'+0.12%,'26,7.01%,'40.46,'6.29,0.99%,17.67%,'-1.18%,'181.13,'+67.68%,农牧饲渔
'10,600519.贵州茅台,'1476.10,'-0.26%,'25,5.80%,'20.55,'7.75,3.50%,39.34%,'+4.24%,'18484.76,'-1.24%,酿酒行业
'11,002463.沪电股份,'69.80,'+1.47%,'23,6.41%,'43.62,'10.54,0.72%,27.40%,'+42.25%,'1342.94,'+78.89%,电子元件
'12,000625.长安汽车,'12.46,'-0.88%,'23,1.33%,'42.67,'1.62,2.37%,9.18%,'+0.32%,'1030.75,'-4.57%,汽车整车
'13,600882.妙可蓝多,'27.65,'-0.22%,'23,0.59%,'153.09,'3.10,0.00%,3.80%,'-7.15%,'141.58,'+54.47%,食品饮料
'14,600989.宝丰能源,'17.57,'+1.27%,'22,2.76%,'14.57,'2.88,1.59%,20.65%,'+10.30%,'1288.47,'+7.11%,化学原料
'15,300750.宁德时代,'304.00,'-0.71%,'22,13.78%,'26.58,'4.70,2.23%,23.77%,'+15.45%,'13386.33,'+17.55%,电池
'16,600132.重庆啤酒,'55.07,'-0.65%,'21,6.24%,'22.42,'16.47,4.36%,64.93%,'-0.25%,'266.52,'-11.18%,酿酒行业
'17,600276.恒瑞医药,'68.35,'+3.20%,'21,8.39%,'65.17,'7.76,0.29%,14.55%,'+28.00%,'4360.05,'+49.45%,化学制药
'18,601088.中国神华,'37.90,'+1.15%,'21,1.04%,'13.70,'1.88,5.96%,13.47%,'+0.48%,'6250.10,'-7.75%,煤炭行业
'19,600298.安琪酵母,'40.23,'+1.57%,'21,4.25%,'26.54,'3.11,1.37%,13.38%,'+16.34%,'349.25,'+13.31%,食品饮料
'20,002714.牧原股份,'54.80,'-0.29%,'21,2.72%,'10.49,'3.82,2.57%,38.70%,'+25.49%,'2993.60,'+44.50%,农牧饲渔
'21,600600.青岛啤酒,'69.44,'-0.09%,'21,3.29%,'22.79,'3.16,3.17%,15.79%,'+0.94%,'492.42,'-11.47%,酿酒行业
'22,600048.保利发展,'7.89,'-0.88%,'20,4.30%,亏损,'0.48,2.15%,0.15%,'-1.99%,'944.47,'-9.03%,房地产开发
'23,002241.歌尔股份,'35.68,'-2.83%,'20,3.03%,'55.55,'3.68,0.70%,8.78%,'+57.60%,'1245.77,'+39.21%,消费电子
'24,600900.长江电力,'27.79,'-1.07%,'20,6.19%,'19.81,'3.29,3.39%,17.08%,'-4.80%,'6799.72,'-2.90%,电力行业
'25,603198.迎驾贡酒,'45.15,'-0.94%,'20,1.12%,'15.75,'3.70,3.32%,25.38%,'+14.07%,'361.20,'-13.14%,酿酒行业
'26,603997.继峰股份,'12.09,'-2.42%,'20,0.88%,亏损,'3.06,0.00%,'-1.00%,'-0.17%,'153.30,'+5.59%,汽车零部件
'27,002847.盐津铺子,'75.53,'+1.37%,'20,3.32%,'32.74,'9.46,2.12%,36.82%,'-2.19%,'206.03,'+22.19%,食品饮料
'28,600011.华能国际,'7.48,'+1.36%,'19,2.09%,'9.67,'0.83,3.61%,8.61%,'+3.17%,'822.63,'+14.65%,电力行业
'29,603259.药明康德,'111.58,'+8.02%,'19,12.13%,'29.52,'5.50,1.21%,24.03%,'+58.49%,'2759.69,'+107.12%,医疗服务
'30,601058.赛轮轮胎,'14.43,'+1.83%,'19,4.31%,'12.60,'2.31,2.63%,19.50%,'+7.69%,'474.47,'+2.61%,橡胶制品
'31,688111.金山办公,'332.20,'-0.69%,'19,3.71%,'96.41,'13.22,0.27%,15.19%,'+22.10%,'1538.68,'+16.39%,软件开发
'32,600176.中国巨石,'16.30,'+4.42%,'19,10.10%,'22.81,'2.12,1.47%,10.69%,'+29.98%,'652.51,'+46.00%,玻璃玻纤
'33,000786.北新建材,'26.27,'-1.61%,'19,10.49%,'13.48,'1.70,3.29%,13.35%,'-2.27%,'443.83,'-10.62%,装修建材
'34,000858.五粮液,'128.87,'-0.51%,'19,3.08%,'15.50,'3.56,4.46%,23.83%,'+9.45%,'5002.23,'-3.70%,酿酒行业
'35,002372.伟星新材,'10.69,'-0.83%,'19,3.23%,'20.13,'3.72,5.61%,19.21%,'+2.69%,'170.19,'-11.69%,装修建材
'36,688169.石头科技,'212.00,'-1.34%,'19,3.91%,'43.63,'4.11,0.36%,12.12%,'+37.71%,'549.31,'+36.05%,家电行业
'37,603444.吉比特,'460.00,'+0.17%,'19,9.68%,'31.20,'6.26,2.17%,20.94%,'+38.08%,'331.39,'+113.30%,游戏
'38,002353.杰瑞股份,'47.20,'-0.51%,'19,5.58%,'17.81,'2.21,1.72%,13.37%,'+38.38%,'483.26,'+30.22%,专用设备
'39,002345.潮宏基,'15.79,'+6.98%,'18,7.36%,'48.16,'3.85,2.22%,8.10%,'+3.47%,'140.30,'+175.74%,珠宝首饰
'40,600160.巨化股份,'39.02,'+0.85%,'18,3.15%,'33.60,'5.48,0.59%,17.70%,'+35.53%,'1053.44,'+63.19%,化学制品
'41,603919.金徽酒,'21.90,'-0.77%,'18,0.44%,'29.54,'3.29,2.28%,11.65%,'+21.73%,'111.09,'+14.63%,酿酒行业
'42,002648.卫星化学,'20.00,'-0.45%,'18,4.46%,'10.04,'2.17,2.50%,23.56%,'+13.44%,'673.73,'+9.65%,化学原料
'43,600690.海尔智家,'25.95,'-1.18%,'18,7.19%,'12.59,'2.12,3.72%,18.45%,'+5.36%,'1623.04,'-5.56%,家电行业
'44,603986.兆易创新,'174.88,'+10.00%,'18,6.12%,'105.43,'6.74,0.19%,7.06%,'+43.69%,'1161.26,'+64.21%,半导体
'45,603129.春风动力,'272.00,'+1.99%,'18,3.88%,'24.34,'6.13,1.42%,28.91%,'+16.20%,'415.01,'+76.96%,交运设备
'46,002938.鹏鼎控股,'58.49,'-2.19%,'18,2.06%,'34.55,'4.34,1.71%,13.47%,'+48.83%,'1355.83,'+65.69%,电子元件
'47,600104.上汽集团,'19.04,'+1.33%,'18,2.97%,亏损,'0.74,0.47%,0.36%,'+9.55%,'2188.70,'-7.83%,汽车整车
'48,601127.赛力斯,'143.89,'+5.10%,'18,3.36%,'35.56,'8.78,0.89%,36.31%,'+3.01%,'2350.25,'+8.69%,汽车整车
'49,600809.山西汾酒,'200.60,'-0.70%,'17,4.02%,'19.81,'6.82,3.02%,36.95%,'+14.04%,'2447.25,'+12.74%,酿酒行业
'50,002304.洋河股份,'73.85,'-0.08%,'17,1.36%,'35.59,'2.27,6.29%,6.03%,'+12.71%,'1112.51,'-5.70%,酿酒行业
'51,689009.九号公司-WD,'73.17,'+0.03%,'17,'-,'29.50,'7.80,1.53%,27.90%,'+23.93%,'528.64,'+56.93%,交运设备
'52,002557.洽洽食品,'23.17,'+3.58%,'17,3.95%,'21.99,'2.25,5.61%,11.52%,'+6.77%,'117.21,'-15.77%,食品饮料
'53,603605.珀莱雅,'84.43,'+0.72%,'17,11.99%,'20.72,'5.84,1.41%,32.11%,'+2.83%,'334.35,'+1.12%,美容护理
'54,600060.海信视像,'22.05,'-0.23%,'17,4.35%,'14.48,'1.45,3.99%,13.00%,'-4.34%,'287.75,'+15.06%,家电行业
'55,603369.今世缘,'42.90,'-0.90%,'17,2.75%,'16.94,'3.30,2.80%,20.72%,'+10.06%,'534.88,'-2.48%,酿酒行业
'56,000526.学大教育,'48.17,'+0.08%,'17,2.14%,'26.24,'6.06,0.00%,28.34%,'+2.49%,'58.70,'+14.53%,教育
'57,601633.长城汽车,'26.08,'+0.89%,'16,1.37%,'29.12,'2.64,1.73%,15.09%,'+21.25%,'1627.44,'+1.10%,汽车整车
'58,600323.瀚蓝环境,'25.82,'-2.20%,'16,0.68%,'12.63,'1.53,3.10%,13.22%,'+7.23%,'210.52,'+13.03%,环保行业
'59,605589.圣泉集团,'33.41,'+0.94%,'16,0.82%,'28.50,'2.84,1.65%,10.22%,'+11.29%,'282.78,'+44.52%,化学制品
'60,300308.中际旭创,'406.10,'+14.42%,'16,3.72%,'67.24,'19.77,0.12%,34.91%,'+180.30%,'4512.25,'+230.12%,通信设备
'61,601899.紫金矿业,'24.38,'+5.63%,'16,7.72%,'17.10,'4.56,1.15%,29.99%,'+23.01%,'5019.53,'+63.59%,有色金属
'62,603993.洛阳钼业,'13.53,'+9.47%,'16,3.69%,'17.85,'3.92,1.90%,24.72%,'+58.43%,'2362.45,'+109.99%,小金属
'63,002541.鸿路钢构,'17.19,'-1.15%,'16,0.70%,'24.53,'1.23,2.09%,6.69%,'-6.73%,'118.61,'-2.02%,水泥建材
'64,300973.立高食品,'49.98,'-0.81%,'16,3.48%,'28.66,'3.23,1.40%,11.90%,'+3.41%,'84.64,'+29.36%,食品饮料
'65,002142.宁波银行,'28.52,'+1.06%,'16,3.77%,'6.64,'0.77,3.16%,12.19%,'+5.01%,'1883.34,'+21.23%,银行
'66,002487.大金重工,'34.02,'-2.10%,'16,3.04%,'25.98,'2.79,0.24%,11.49%,'+0.32%,'216.96,'+66.47%,风电设备
'67,002850.科达利,'138.16,'-0.53%,'16,2.43%,'24.60,'3.09,1.45%,13.85%,'+25.13%,'377.88,'+43.97%,电池
'68,603983.丸美生物,'40.51,'-0.59%,'16,1.21%,'48.12,'4.83,1.85%,10.50%,'-3.78%,'162.45,'+26.96%,美容护理
'69,002311.海大集团,'60.77,'-1.19%,'16,3.78%,'19.59,'4.14,1.81%,22.53%,'+3.24%,'1011.06,'+26.24%,农牧饲渔
'70,600426.华鲁恒升,'27.99,'+2.04%,'16,3.60%,'18.61,'1.86,2.14%,10.49%,'+29.16%,'594.29,'+31.34%,化学原料
'71,002568.百润股份,'27.74,'-1.42%,'16,0.45%,'45.69,'6.11,1.08%,15.46%,'+11.18%,'291.09,'+0.03%,酿酒行业
'72,300972.万辰集团,'204.70,'-3.35%,'16,2.16%,'53.97,'23.68,0.28%,59.93%,'+24.33%,'384.05,'+155.79%,农牧饲渔
'73,603606.东方电缆,'54.70,'+3.64%,'16,6.09%,'45.73,'5.27,0.82%,12.16%,'+6.52%,'376.18,'+5.06%,电网设备
'74,301498.乖宝宠物,'98.64,'+1.07%,'16,2.98%,'58.30,'8.88,0.51%,16.65%,'-8.16%,'394.60,'+26.22%,农牧饲渔
'75,601838.成都银行,'18.20,'-1.46%,'15,5.83%,'5.80,'0.87,4.90%,16.36%,'-6.71%,'771.40,'+11.47%,银行
'76,603288.海天味业,'41.22,'-0.53%,'15,3.52%,'36.77,'6.16,2.09%,20.25%,'+6.02%,'2292.08,'-8.42%,食品饮料
'77,000807.云铝股份,'19.41,'+0.10%,'15,5.67%,'14.55,'2.19,2.11%,16.03%,'+22.23%,'673.13,'+45.14%,有色金属
'78,600486.扬农化工,'74.55,'+1.50%,'15,4.02%,'24.76,'2.72,0.91%,11.73%,'+30.01%,'302.22,'+30.21%,农药兽药
'79,601898.中煤能源,'11.36,'+0.18%,'15,0.72%,'8.81,'0.97,4.22%,11.37%,'+0.53%,'1039.67,'-4.69%,煤炭行业
'80,002991.甘源食品,'58.55,'+0.65%,'15,0.05%,'20.96,'3.36,4.91%,16.63%,'-4.73%,'54.58,'-35.68%,食品饮料
'81,002028.思源电气,'96.36,'+10.00%,'15,19.90%,'32.99,'5.61,0.52%,20.11%,'+33.74%,'750.07,'+33.45%,电网设备
'82,300866.安克创新,'145.05,'+3.44%,'15,8.93%,'37.33,'8.51,1.44%,27.84%,'+21.79%,'777.70,'+50.83%,消费电子
'83,000921.海信家电,'25.17,'-1.02%,'15,3.05%,'12.81,'2.18,4.89%,22.59%,'+0.88%,'232.89,'-8.48%,家电行业
'84,002003.伟星股份,'10.74,'-1.20%,'15,2.41%,'19.33,'2.86,4.66%,15.08%,'+0.47%,'125.54,'-22.21%,纺织服装
'85,003010.若羽臣,'64.23,'-3.21%,'15,0.23%,'103.54,'16.80,0.57%,14.89%,'+15.42%,'142.71,'+221.45%,互联网服务
'86,603193.润本股份,'29.47,'-0.77%,'15,0.53%,'41.01,'5.48,1.39%,14.62%,'-1.67%,'119.23,'+26.96%,美容护理
'87,002563.森马服饰,'5.48,'+0.18%,'15,6.37%,'17.59,'1.31,6.39%,8.10%,'+4.18%,'147.64,'-17.10%,纺织服装
'88,300059.东方财富,'28.69,'-0.76%,'15,3.06%,'42.67,'5.30,0.21%,13.85%,'+23.93%,'4534.18,'+11.44%,互联网服务
'89,300888.稳健医疗,'42.35,'-0.02%,'15,0.70%,'34.04,'2.14,1.54%,7.00%,'+5.98%,'246.62,'+1.16%,美容护理
'90,300413.芒果超媒,'25.96,'-0.46%,'15,2.51%,'36.18,'2.12,0.85%,4.71%,'+22.22%,'485.64,'-2.45%,文化传媒
'91,002244.滨江集团,'10.69,'+1.14%,'15,1.65%,'10.61,'1.13,0.77%,11.59%,'+11.24%,'332.61,'+25.22%,房地产开发
'92,002415.海康威视,'31.15,'-0.06%,'15,0.44%,'23.85,'3.66,2.25%,16.51%,'+12.78%,'2876.14,'+3.98%,计算机设备
'93,688775.影石创新,'326.90,'+1.47%,'15,'-,'138.57,'24.06,0.00%,24.43%,'+93.43%,'1310.87,'+591.56%,消费电子
'94,300416.苏试试验,'18.54,'-1.17%,'14,1.72%,'41.49,'3.59,0.81%,9.42%,'+32.05%,'94.28,'+59.35%,专业服务
'95,600926.杭州银行,'15.69,'-1.13%,'14,4.28%,'6.16,'0.71,3.74%,12.89%,'-6.77%,'1137.37,'+9.16%,银行
'96,605333.沪光股份,'33.01,'-0.87%,'14,0.34%,'21.18,'6.01,0.70%,33.13%,'+20.26%,'144.18,'+2.00%,汽车零部件
'97,002624.完美世界,'16.28,'-2.28%,'14,5.99%,亏损,'4.57,1.41%,'-1.00%,'+6.96%,'315.83,'+60.10%,游戏
'98,000975.山金国际,'20.87,'+6.32%,'14,2.42%,'21.59,'4.27,1.75%,21.18%,'+10.60%,'579.50,'+38.35%,贵金属
'99,002126.银轮股份,'37.10,'-5.38%,'14,1.22%,'41.67,'4.71,0.32%,13.15%,'+61.09%,'309.71,'+99.11%,汽车零部件
'100,300274.阳光电源,'99.20,'-0.67%,'14,4.20%,'15.46,'4.83,1.09%,37.35%,'+34.47%,'2056.63,'+36.64%,光伏设备
